Year;PollutantID;Pollutant_Name;PlantID;Site;Easting;Northing;Operator;SectorID;Sector; Emission ;Unit;Country
1998;2;Carbon Dioxide as Carbon;2159;Bacton;633190;334540;Shell UK Ltd;3;Oil & gas exploration and production;4660.914633;Tonnes;England
1999;2;Carbon Dioxide as Carbon;2159;Bacton;633190;334540;Shell UK Ltd;3;Oil & gas exploration and production;4636.506273;Tonnes;England
2000;2;Carbon Dioxide as Carbon;2159;Bacton;633190;334540;Shell UK Ltd;3;Oil & gas exploration and production;4636.363636;Tonnes;England
2001;2;Carbon Dioxide as Carbon;2159;Bacton;633190;334540;Shell UK Ltd;3;Oil & gas exploration and production;4338.878182;Tonnes;England
2002;2;Carbon Dioxide as Carbon;2159;Bacton;633190;334540;Shell UK Ltd;3;Oil & gas exploration and production;8455.434545;Tonnes;England
2003;2;Carbon Dioxide as Carbon;2159;Bacton;633190;334540;Shell UK Ltd;3;Oil & gas exploration and production;7241.634545;Tonnes;England
2004;2;Carbon Dioxide as Carbon;2159;Bacton;633190;334540;Shell UK Ltd;3;Oil & gas exploration and production;10282.64182;Tonnes;England
1998;2;Carbon Dioxide as Carbon;3650;Sullom Voe;441040;1173240;BP Exploration Ltd;3;Oil & gas exploration and production;138692.8909;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;3650;Sullom Voe;441040;1173240;BP Exploration Ltd;3;Oil & gas exploration and production;144545.4545;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;3650;Sullom Voe;441040;1173240;BP Exploration Ltd;3;Oil & gas exploration and production;123697.9091;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;3650;Sullom Voe;441040;1173240;BP Exploration Ltd;3;Oil & gas exploration and production;190836.2727;Tonnes;Scotland
2002;2;Carbon Dioxide as Carbon;3650;Sullom Voe;441040;1173240;BP Exploration Ltd;3;Oil & gas exploration and production;112511.9282;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;3650;Sullom Voe;441040;1173240;BP Exploration Ltd;3;Oil & gas exploration and production;82586.637;Tonnes;Scotland
2004;2;Carbon Dioxide as Carbon;3650;Sullom Voe;441040;1173240;BP Exploration Ltd;3;Oil & gas exploration and production;81267;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;3663;Flotta;336040;993240;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;98113.41818;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;3663;Flotta;336040;993240;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;91648.10253;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;3663;Flotta;336040;993240;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;88921.69091;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;3663;Flotta;336040;993240;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;83244.57572;Tonnes;Scotland
2002;2;Carbon Dioxide as Carbon;3663;Flotta;336040;993240;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;77246.95711;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;3663;Flotta;336040;993240;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;68277.28091;Tonnes;Scotland
2004;2;Carbon Dioxide as Carbon;3663;Flotta;336040;993240;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;57577.87805;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;3665;Nigg Bay;279200;870500;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;3579.684545;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;3665;Nigg Bay;279200;870500;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;2778.843193;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;3665;Nigg Bay;279200;870500;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;2888.735259;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;3665;Nigg Bay;279200;870500;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;3216.656196;Tonnes;Scotland
2002;2;Carbon Dioxide as Carbon;3665;Nigg Bay;279200;870500;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;6083.618182;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;3665;Nigg Bay;279200;870500;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;4674.364636;Tonnes;Scotland
2004;2;Carbon Dioxide as Carbon;3665;Nigg Bay;279200;870500;Talisman Energy (UK) Ltd;3;Oil & gas exploration and production;3168.347089;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;6978;Kinneil;295900;680500;BP Exploration Co Ltd;3;Oil & gas exploration and production;125489.4273;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;6978;Kinneil;295900;680500;BP Exploration Co Ltd;3;Oil & gas exploration and production;114043.8643;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;6978;Kinneil;295900;680500;BP Exploration Co Ltd;3;Oil & gas exploration and production;132474.5455;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;6978;Kinneil;295900;680500;BP Exploration Co Ltd;3;Oil & gas exploration and production;133417.0909;Tonnes;Scotland
2002;2;Carbon Dioxide as Carbon;6978;Kinneil;295900;680500;BP Exploration Co Ltd;3;Oil & gas exploration and production;142007.1818;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;6978;Kinneil;295900;680500;BP Exploration Co Ltd;3;Oil & gas exploration and production;124886.7273;Tonnes;Scotland
