ETS_Name;PRTR_Name;EUTL_Name;Similarity;
Fribecoh BV Drogerij;NA;NA;NA;
Gaz de France, K12-CC platform;NA;NA;NA;
Gaz de France, L10-A platform;NA;NA;NA;
Gebr Gresnigt Holding BV (Seasun West);NA;NA;NA;
Gebr L en J Voskamp BV;NA;NA;NA;
Gebr van der Voort;NA;NA;NA;
Gebr Van Duijn BV;NA;NA;NA;
Gipmans Groep;NA;NA;NA;
GJM van Ruijven;NA;NA;NA;
Green O5 BV;NA;NA;NA;
Harting Holland BV;NA;NA;NA;
Hasselt Energy BV;NA;NA;NA;
Heineken Nederland BV, locatie Den Bosch;Heineken Netherlands Supply BV (Den Bosch);NA;NA;
Helder/ Haven Chevron Exploration and Production Netherlands BV;NA;NA;NA;
Hoogweg Luttelgeest BV NLW1;NA;NA;NA;
Hoogweg Luttelgeest BV NLW9;NA;NA;NA;
Hoorn - Chevron Expl and Prod Netherlands BV;NA;NA;NA;
HulpWarmteCentrale 1;NA;NA;NA;
HWC Hogering;Vattenfall Power Generation BV (HWC Hogering/WKC Almere);NA;NA;
InnovioPapers BV;Sappi Nijmegen BV/InnovioPapers;NA;NA;
Jacobs Douwe Egberts NL BV;NA;NA;NA;
JAM Groenewegen BV;NA;NA;NA;
JAM van Marrewijk BV;NA;NA;NA;
Jansen Hoeven BV;NA;NA;NA;
Jansen Paprika;NA;NA;NA;
Kaaij Group;NA;NA;NA;
KBB Holland;NA;NA;NA;
Ketelhuis De La Reijweg;NA;NA;NA;
Ketelhuis Helmerhoek;NA;NA;NA;
Kleiwarenfabriek De Bylandt BV;NA;NA;NA;
Kleiwarenfabriek De Waalwaard;NA;NA;NA;
Kleiwarenfabriek Facade Beek;NA;NA;NA;
Kleiwarenfabriek Nuth;NA;NA;NA;
KLM Engineering & Maintenance Schiphol Oost;NA;NA;NA;
Koninklijke Machinefabriek Stork;NA;NA;NA;
Kwekerij 4Evergreen - lokatie Sint-Annaland;NA;NA;NA;
Kwekerij 4Evergreen - lokatie Steenbergen;NA;NA;NA;
Kwekerij Bergpeppers BV;NA;NA;NA;
Kwekerij de Graafsebos CV;NA;NA;NA;
Kwekerij De Kabel BV;NA;NA;NA;
Kwekerij de Punderman CV;NA;NA;NA;
Kwekerij Dukker BV;NA;NA;NA;
Kwekerij Dukker Konneweg (1);NA;NA;NA;
Kwekerij GJ van der Wel Zijdijk BV;NA;NA;NA;
Kwekerij Helderman;NA;NA;NA;
Kwekerij Het Kraaiennest BV;NA;NA;NA;
Kwekerij Minida;NA;NA;NA;
Kwekerij Mooijman;NA;NA;NA;
Kwekerij Overgaag;NA;NA;NA;
Kwekerij Peter Hoogerbrugge BV;NA;NA;NA;
Kwekerij Rozenhof Moerkapelle BV;NA;NA;NA;
Kwekerij Schenkeveld II BV;NA;NA;NA;
Kwekerij Schenkeveld III BV;NA;NA;NA;
Kwekerij Varenschut CV;NA;NA;NA;
Lamb Weston Meijer VOF, vestiging Bergen op Zoom;Lamb Weston / Meijer Potatoes;NA;NA;
Lamb Weston Meijer VOF, vestiging Oosterbierum;Lamb Weston / Meijer Potatoes;NA;NA;
Lans Westland BV, Locatie Lans Burgerweg;NA;NA;NA;
Lans Westland BV, Locatie Lans Herenwerf;NA;NA;NA;
Lans Westland BV, Locatie Lans Maasambacht;NA;NA;NA;
Lans Zeeland BV, Locatie Lans Bathpolderdwarsweg;NA;NA;NA;
LW vd Houwen BV;NA;NA;NA;
Marjoland BV;NA;NA;NA;
Mayr-Melnhof Eerbeek BV;NA;NA;NA;
Michel Grootscholten;NA;NA;NA;
MICRO Chemie BV;NA;NA;NA;
Ministerie van Defensie, Nieuwe Haven Terrein;NA;NA;NA;
Minnewit BV;Minnewit BV (Berkelcentrale);NA;NA;
Momentive Specialty Chemicals BV;NA;NA;NA;
MTS Harry Wubben Chrysanten;NA;NA;NA;
MTS JCM van Marrewijk;NA;NA;NA;
NAM BV Gasbehandelingsinstallatie Grijpskerk (GRK-GDF);Nederlandse Aardolie Maatschappij BV;NA;NA;
NAM BV Gasproductie en gascompressie-installatie Ameland Westgat;Nederlandse Aardolie Maatschappij BV;NA;NA;
NAM BV gaszuiveringsinstallatie (GZI) Emmen;Nederlandse Aardolie Maatschappij BV;NA;NA;
NAM BV Warmtekrachtcentrale en Oliebehandelingsinstallatie Schoonebeek (WKC/OBI);Nederlandse Aardolie Maatschappij BV;NA;NA;
NAM, locatie K14-FA-1C/P;Nederlandse Aardolie Maatschappij BV;NA;NA;
NAM, locatie L9-FF-1;Nederlandse Aardolie Maatschappij BV;NA;NA;
Nedmag Industries Mining & Manufacturing Holding BV;Nedmag BV;NA;NA;
Nieuwe Tuinen BV;NA;NA;NA;
Noordam Plants BV;NA;NA;NA;
Nova Innovene Netherlands BV;NA;NA;NA;
Nuon Centrale Catharina Ziekenhuis;NA;NA;NA;
Nuon HWC Duiven-Westervoort;NA;NA;NA;
Nuon HWC Lelystad;NA;NA;NA;
Nuon HWC Schuytgraaf;NA;NA;NA;
Nuon Power Buggenum (WAC);Nuon Power Generation BV (Buggenum);NA;NA;
Nuon Warmtekrachtcentrale Ede;NA;NA;NA;
Nuon Warmtekrachtcentrale Purmerend;Nuon Power Generation BV Purmerend WKC;NA;NA;
NV Nederlandse Gasunie LNG Maasvlakte;NA;NA;NA;
NXP Semiconductors Nijmegen;NA;NA;NA;
OCI Nitrogen;NA;NA;NA;
PEKA Kroef BV;Peka Kroef BV Odiliapeel;NA;NA;
Peter Aarts VOF;NA;NA;NA;
PGI Nonwovens BV;NA;NA;NA;
Philips Lighting BV;NA;NA;NA;
Plantenkwekerij Leo Ammerlaan BV;NA;NA;NA;
Plantenkwekerij P van Geest Maasland BV;NA;NA;NA;
Plantenkwekerij Van der Lugt vof;NA;NA;NA;
PN Hoogerbrugge Steenbergen BV;NA;NA;NA;
Pompstation Breda;NA;NA;NA;
Pompstation Tilburg;NA;NA;NA;
Promelca Dairy Foods;Promelca BV (Gorinchem);NA;NA;
Prominent Groeneweg BV;NA;NA;NA;
Red Harvest BV;NA;NA;NA;
Rodruza - Steenfabriek Rossum BV;Rodruza Steenfabriek de Zandberg;NA;NA;
Rozenkwekerij de Trompet VOF;NA;NA;NA;
Saint-Gobain Construction Products Nederland BV;Saint Gobain Construction Products NL BV;NA;NA;
Seasun Epsilon BV (Seasun Oost);Seasun;NA;NA;
Sensus, vestiging Roosendaal;Sensus Roosendaal & Sensus Zwolle;NA;NA;
Service Terminal Rotterdam VOF;NA;NA;NA;
Simadan Holdings;NA;NA;NA;
Sime Darby Unimills BV;Sime Darby Oils Zwijndrecht Refinery BV;NA;NA;
Smurfit Kappa Solid Board, locatie Oude Pekela KM1;Smurfit Kappa Parenco BV;NA;NA;
Stichting Beheer Cluster Bergschenhoek;NA;NA;NA;
Stichting VU-VUmc FCO / CCE;NA;NA;NA;
Suiker Unie, productielocatie Breda;Suiker Unie (Groningen);NA;NA;x
Suiker Unie, productielocatie Puttershoek;Suiker Unie (Groningen);NA;NA;x
Suiker Unie, productielocatie Vierverlaten;Suiker Unie (Groningen);NA;NA;x
Sweet Point Middenmeer BV;NA;NA;NA;
TAQA Offshore BV, P15-C-D;NA;NA;NA;
Tas Paprika CV;NA;NA;NA;
Ten Cate Advanced Textiles BV;Ten Cate Protect BV;NA;NA;
Testinrichting;NA;NA;NA;
Tomatenkwekerij Gebr Duijvestijn;NA;NA;NA;
TW van Noord Tomaten BV;NA;NA;NA;
UMC Utrecht;NA;NA;NA;
Uniper Centrale De Constant Rebecqueplein;NA;NA;NA;
Uniper HWC Kop van Zuid;NA;NA;NA;
Uniper HWC Stevenshof;NA;NA;NA;
Uniper Maasvlakte Powerplant 3;Uniper Benelux NV (Maasvlakte);NA;NA;
Universiteit Utrecht, locatie De Uithof;NA;NA;NA;
Van Dijk Bedrijven Holding bv;NA;NA;NA;
Van Houtum Holding BV;NA;NA;NA;
Van Twiller BV;NA;NA;NA;
Vattenfall Centrale Diemen;Vattenfall Power Generation BV (Diemen);NA;NA;
Vattenfall Centrale Hemweg;Vattenfall Power Generation BV (Hemweg);NA;NA;
Vattenfall HWC Almere;Vattenfall Power Generation BV (HWC Almere Stad);NA;NA;
Vattenfall HWC Arena - Holterbergweg;NA;NA;NA;
Vattenfall HWC Boris Pasternak;NA;NA;NA;
Vd Berg Roses CV;NA;NA;NA;
Vereijken Energie BV, locatie Beek en Donk;NA;NA;NA;
Vereijken Energie BV, locatie Someren-Eind;NA;NA;NA;
Vermilion Oil & Gas BV Gasbeh StHarlingen;Vermilion Energy Netherlands BV;NA;NA;
Vivaio Peters BV;NA;NA;NA;
VOF De Driemaster;NA;NA;NA;
VoF firma Oussoren;NA;NA;NA;
Vopak Terminal Botlek BV;NA;NA;NA;
Vopak Terminal Europoort BV;NA;NA;NA;
Vopak Terminal Vlaardingen BV;NA;NA;NA;
Wijnen Facilities BV;NA;NA;NA;
Wijnen Paprika's BV;NA;NA;NA;
WKC Akzo Nobel Center Energie BV;NA;NA;NA;
WKC Eindhoven;Ennatuurlijk BV, WKC Eindhoven;NA;NA;
WKC Helmond 1 & 2;Ennatuurlijk BV, WKC Helmond;NA;NA;
WKC Kruiningen;NA;NA;NA;
Wormdal Vastgoed BV;NA;NA;NA;
Zuurbier en Co Rozenkwekerijen BV;NA;NA;NA;
Aluminium Delfzijl B.V. (Aldel);DAMCO Aluminium Delfzijl Coöperatie U.A.;NA;NA;
Ondergrondse aardgasopslag Zuidwending;Aardgasbuffer Zuidwending;;;
Abbott Healthcare Products BV (Weesp);Abbott Healthcare Products BV;;;
AMC Academisch Medisch Centrum;Academisch Medisch Centrum (AMC);;;
Archer Daniels Midland Europoort BV (ADM);ADM Europoort B.V.;;;
AGC Flatglass Nederland BV;AGC Flat Glass Nederland BV;;;
Air Products Nederland BV (Botlek);Air Products Nederland B.V., Locatie Botlek (Merseyweg);;;
Albemarle Catalysts Company B.;Albemarle Catalysts Company B.V.;;;
Alco Energy Rotterdam;Alco Energy Rotterdam BV;;;
Almatis BV;Almatis B.V.;;;
DAMCO Aluminium Delfzijl Coöperatie U.A.;Aluminium Delfzijl B.V. (Aldel);;;
Apollo Vredestein BV;Apollo Vredestein B.V.;;;
Ardagh Glass Dongen BV;Ardagh Glass Dongen B.V.;;;
Ardagh Glass Moerdijk BV;Ardagh Glass Moerdijk B.V.;;;
