jaar;nic;bedrijfsnaam;plaats;stof;emissie totaal;eenheid
2015;205186;HWC Ypenburg;'s-Gravenhage;Kooldioxide (CO2);9170000;kg
2015;205256;DCL Corporation (NL) B.V.;Maastricht;Kooldioxide (CO2);124883;kg
2015;205276;Diffutherm BV;Hapert;Kooldioxide (CO2);624820;kg
2015;220121;Hoogheemraadschap Hollands Noorderkwartier RWZI Alkmaar;Alkmaar;Kooldioxide (CO2);2219750;kg
2015;220124;AWZI Almere;Almere;Kooldioxide (CO2);7787558;kg
2015;220129;RWZI Amstelveen (HH Amstel, Gooi en Vecht);Amstelveen;Kooldioxide (CO2);4047763;kg
2015;220131;RWZI Westpoort;Amsterdam;Kooldioxide (CO2);17238652;kg
2015;220133;RWZI Arnhem-Zuid;Arnhem;Kooldioxide (CO2);5413235;kg
2015;220136;RWZI Asten (Waterschap Aa en Maas);Heusden;Kooldioxide (CO2);2502599;kg
2015;220138;RWZI Emmen;Nieuw-Amsterdam;Kooldioxide (CO2);4178847;kg
2015;220139;RWZI Bath;Rilland;Kooldioxide (CO2);14735878;kg
2015;220150;Hoogheemraadschap Hollands Noorderkwartier SDI/RWZI Beverwijk;Beverwijk;Kooldioxide (CO2);35817905;kg
2015;220188;Hoogheemraadschap Hollands Noorderkwartier RWZI Den Helder;Den Helder;Kooldioxide (CO2);2587827;kg
2015;220191;RWZI Deventer;Deventer;Kooldioxide (CO2);4333900;kg
2015;220200;RWZI Dongemond;Oosterhout;Kooldioxide (CO2);6352882;kg
2015;220201;RWZI Dordrecht;Dordrecht;Kooldioxide (CO2);5021903;kg
2015;220209;RWZI Echten;Hoogeveen;Kooldioxide (CO2);6864542;kg
2015;220213;RWZI Elburg;Elburg;Kooldioxide (CO2);5574809;kg
2015;220217;RWZI Etten;Terborg;Kooldioxide (CO2);10167151;kg
2015;220223;Hoogheemraadschap Hollands Noorderkwartier RWZI Geestmerambacht;Warmenhuizen;Kooldioxide (CO2);3670370;kg
2015;220233;RWZI Goor;Goor;Kooldioxide (CO2);1775300;kg
2015;220236;AWZI Gouda;Gouda;Kooldioxide (CO2);2050000;kg
2015;220263;RWZI Hellevoetsluis;Hellevoetsluis;Kooldioxide (CO2);1813123;kg
2015;220264;Rioolwaterzuiveringsinstallatie Hengelo;Hengelo;Kooldioxide (CO2);7861674;kg
2015;220276;RWZI Horstermeer (HH Amstel, Gooi en Vechtstreek);Nederhorst den Berg;Kooldioxide (CO2);4121714;kg
