identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;73700000;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Air;Aldéhyde formique (formaldéhyde);350;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Air;Méthanol (alcool méthylique);66;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Eau (direct);Arsenic et composés (exprimés en tant que As);15.3;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Eau (direct);Carbone organique total (en tant que C total ou DCO/3);53600;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Eau (direct);Chrome et composés (exprimés en tant que Cr);59.9;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Eau (direct);Demande biologique en oxygène (DBO5);84600;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Eau (direct);Nickel et composés (exprimés en tant que Ni);239;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2006;Eau (direct);Zinc et composés (exprimés en tant que Zn);728;kg/an
0006104405;R.E.S.;2006;Eau (direct);Nickel et composés (exprimés en tant que Ni);21.7;kg/an
0006104426;FERROPEM GROUPE FERROATLANTICA;2006;Air;Oxydes de soufre (SOx/SO2);185000;kg/an
0006104426;FERROPEM GROUPE FERROATLANTICA;2006;Air;Oxydes d'azote (NOx/NO2);197000;kg/an
0006104426;FERROPEM GROUPE FERROATLANTICA;2006;Air;Poussières totales;823000;kg/an
0006104426;FERROPEM GROUPE FERROATLANTICA;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;216000000;kg/an
0006104426;FERROPEM GROUPE FERROATLANTICA;2006;Air;Dioxyde de carbone (CO2) d'origine biomasse;161000000;kg/an
0006104438;FERROPEM;2006;Air;Chrome et composés (exprimés en tant que Cr);145;kg/an
0006104438;FERROPEM;2006;Air;Oxydes de soufre (SOx/SO2);745000;kg/an
0006104438;FERROPEM;2006;Air;Oxydes d'azote (NOx/NO2);513000;kg/an
0006104438;FERROPEM;2006;Air;Poussières totales;159000;kg/an
0006104438;FERROPEM;2006;Air;Zinc et composés (exprimés en tant que Zn);4800;kg/an
0006104438;FERROPEM;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;187000000;kg/an
0006104438;FERROPEM;2006;Air;Dioxyde de carbone (CO2) d'origine biomasse;32800000;kg/an
0006104438;FERROPEM;2006;Air;Antimoine et composés (exprimés en tant que Sb);40.4;kg/an
0006104438;FERROPEM;2006;Air;Etain et composés (exprimés en tant que Sn);0.1;kg/an
0006104439;CARBONE SAVOIE;2006;Air;Hydrocarbures aromatiques polycycliques (HAP);1460;kg/an
0006104439;CARBONE SAVOIE;2006;Air;Oxydes de soufre (SOx/SO2);620000;kg/an
0006104439;CARBONE SAVOIE;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;32500000;kg/an
0006104447;RDM LA ROCHETTE  SAS;2006;Air;Oxydes d'azote (NOx/NO2);197000;kg/an
0006104447;RDM LA ROCHETTE  SAS;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;18700000;kg/an
0006104447;RDM LA ROCHETTE  SAS;2006;Air;Dioxyde de carbone (CO2) d'origine biomasse;187000000;kg/an
0006104447;RDM LA ROCHETTE  SAS;2006;Eau (direct);Carbone organique total (en tant que C total ou DCO/3);425000;kg/an
0006104447;RDM LA ROCHETTE  SAS;2006;Eau (direct);Demande biologique en oxygène (DBO5);496000;kg/an
0006104447;RDM LA ROCHETTE  SAS;2006;Eau (direct);Demande chimique en oxygène (DCO);1280000;kg/an
0006104459;TECHCI RHONE ALPES;2006;Eau (direct);Fluor et ses composés (F);4.58;kg/an
0006104466;TRIMET;2006;Air;Fluor et composés inorganiques (en tant que HF);89700;kg/an
0006104466;TRIMET;2006;Air;Hydrocarbures aromatiques polycycliques (HAP);63;kg/an
0006104466;TRIMET;2006;Air;Monoxyde de carbone (CO);12400000;kg/an
0006104466;TRIMET;2006;Air;Nickel et composés (exprimés en tant que Ni);85;kg/an
