ETS_Name;PRTR_Name;EUTL_Name;Similarity;
Equinor ASA Kvitebjørnfeltet;NA;NA;NA;
Equinor ASA Visundfeltet;NA;NA;NA;
Statoil ASA Volvefeltet;NA;NA;NA;
Equinor ASA Heidrunfeltet;NA;NA;NA;
ConocoPhillips Skandinavia AS Ekofiskområdet;NA;NA;NA;
Equinor ASA Kristinfeltet;NA;NA;NA;
Equinor ASA Nornefeltet;NA;NA;NA;
Equinor ASA Åsgardfeltet;NA;NA;NA;
Equinor ASA Snorrefeltet;NA;NA;NA;
Equinor ASA Hammerfest LNG;NA;NA;NA;
Equinor ASA Osebergfeltet;NA;NA;NA;
Equinor ASA Gullfaksfeltet;NA;NA;NA;
Equinor ASA Sleipnerfeltet;NA;NA;NA;
Equinor ASA Statfjordfeltet;NA;NA;NA;
Equinor ASA Troll B og C;NA;NA;NA;
Equinor ASA Troll A;NA;NA;NA;
Equinor ASA Stureterminalen;NA;NA;NA;
Equinor ASA Raffineri Mongstad;NA;NA;NA;
Equinor ASA Tjeldbergodden metanolfabrikk;NA;NA;NA;
Södra Cell Folla AS;NA;NA;NA;
Repsol Norge AS Gydafeltet;NA;NA;NA;
Repsol Norge AS Vargfeltet;NA;NA;NA;
Statkraft Varme AS avd. Trondheim;NA;NA;NA;
Sunde AS avd. Polymer;NA;NA;NA;
Alcoa Norway ANS, Lista;Alcoa lista;NA;NA;
AS Rockwool Avd Moss;Rockwool moss;NA;NA;
AS Rockwool Avd. Trondheim;Rockwool trondheim;NA;NA;
Hydro Aluminium AS Høyanger aluminiumsverk;Hydro aluminium h�yanger;NA;NA;
Hydro Aluminium AS Karmøy aluminiumsverk;Hydro aluminium karm�y;NA;NA;
Hydro Aluminium AS Sunndal aluminiumsverk;Hydro aluminium sunndal;NA;NA;
INOVYN Norge AS Avd. PVC fabrikk Porsgrunn;Inovyn norge avd. pvc-fabrikk porsgrunn;NA;NA;
Tizir Titanium and Iron AS;Eramet titanium & iron as;NA;NA;
Vår Energi Goliat;NA;NA;NA;
A/S Norske Shell Knarrfeltet;NA;NA;NA;
Wintershall Dea Vega;NA;NA;NA;
Equinor Petroleum Martin Linge;NA;NA;NA;
Lundin Energy Norway AS Brynhild;NA;NA;NA;
Lundin Energy Norway AS Edvard Grieg;NA;NA;NA;
Equinor Energy AS Gina Krog;NA;NA;NA;
Aker BP ASA Ivar Aasen;NA;NA;NA;
BE Varme;NA;NA;NA;
ExxonMobil Expl and Prod NOR AS Sigyn;NA;NA;NA;
Equinor Energy AS Johan Sverdrup;NA;NA;NA;
Nergård Pelagic AS avd. Produksjon Trollebø;NA;NA;NA;
Wintershall Dea Maria;NA;NA;NA;
Equinor Aasta Hansteen;NA;NA;NA;
A/S Norske Shell Ormen Lange;NA;NA;NA;
SVAL ENERGI AS Oda;NA;NA;NA;
Vår Energi Marulk;NA;NA;NA;
Lundin Energy Norway AS Solveig;NA;NA;NA;
Wintershall Dea Dvalin;NA;NA;NA;
Neptune Energy Norge AS Fenja;NA;NA;NA;
Equinor Johan Castberg;NA;NA;NA;
Holmestrand Rolled Products;NA;NA;NA;
Wintershall Dea Nova;NA;NA;NA;
DNO Norge Oselvar;NA;NA;NA;
48359;NA;NA;NA;
Speira AS Karmøy Rolling Mill;Speira karm�y rolling mill;NA;NA;
Equinor ASA Troll;NA;NA;NA;
SI OSL 03.1 FET;NA;NA;NA;
SI OSL 03.2 FET2;NA;NA;NA;
SI OSL 04 Holtskogen;NA;NA;NA;
Northern Lights Aurora;NA;NA;NA;
49226;NA;NA;NA;
